ID	location   X coord    Y coord  	Z coord
19466    world    -2405.87    218.35    4259.83
7068    world    -2717.14    223.68    3977.23
7068    world    -2737.62    233.52    4457.05
7068    world    -2735.21    225.69    4319.04
7068    world    -2823.07    232.07    4336.99
7068    world    -2405.98    217.97    4169.61
7068    world    -2355.09    219.68    4158.82
7068    world    -3010.66    221.27    4162.39
7068    world    -3014.87    218.12    4057.83
7068    world    -2229.95    222.36    3612.52
7068    world    -2276.39    220.01    3612.42
7068    world    -2421.02    259.23    3767.76
7068    world    -2488.56    246.98    3769.99
7068    world    -2510.81    242.71    3656.07
7068    world    -2727.08    223.67    3610.88
7068    world    -2986.86    226.32    3856.54
7068    world    -3042.81    218.27    3856.44
7068    world    -2082.81    229.49    3767.17
7068    world    -2328.35    220.73    3612.32
7068    world    -2436.71    218.6    3608.41
7068    world    -2482.99    219.47    3611.68
7068    world    -2610.91    222.37    3612.7
7068    world    -2658.07    225.99    3618.78
7068    world    -2783.99    223.35    3619.45
7068    world    -2828.18    222.67    3626.21
7068    world    -2868.77    221.63    3623.06
7068    world    -2956.53    238.09    3654.21
7068    world    -2995.41    243.02    3719.77
7068    world    -3018.37    220.42    3628.19
10336    world    -2718.73    221.35    4098.35
10336    world    -2474.47    221.08    3884.46
10337    world    -2394.21    219.04    3935.87
10337    world    -2324.62    217.56    3933.81
7069    world    -2131.24    217.58    4090.91
10337    world    -2241.25    225.58    4227.44
7069    world    -2201.4    211.6    4101.85
10337    world    -2289.34    220.29    4128.45
10337    world    -2319.86    250.64    4467.97
10336    world    -2262.24    258.94    4393.29
10336    world    -2223.49    231.94    4351.3
10337    world    -2280.14    229.84    4291.34
10337    world    -2334.73    255.34    4338.68
10337    world    -2358.21    214.46    4236.77
10337    world    -2403.34    218.63    4265.25
10337    world    -2464.54    220.58    4248.85
10336    world    -2545.65    220.84    4244.74
10336    world    -2609.46    214.96    4216.63
10336    world    -2838.85    219.78    4441.96
10336    world    -2941.93    244.13    4348.82
10336    world    -3011.87    225.61    4240.65
10336    world    -3029.79    226.51    4189.51
10336    world    -3033.58    218.17    3991.32
10336    world    -3020.51    219.35    3933.01
10336    world    -2883.42    217.84    4058.68
10336    world    -2886.88    224.4    4101.76
10336    world    -2659.67    222.63    4135.52
10336    world    -2686.9    219.91    4044.09
10336    world    -2615.95    224.02    4020.45
10336    world    -2670.09    248.18    3860.32
10336    world    -2579.4    231.69    3841.89
10337    world    -2436.77    224.3    3991.48
10298    world    -2069.1    216.06    4270.57
10298    world    -2386.67    217.72    3653.31
7068    world    -2800.27    246.98    4204.93
7068    world    -2959.13    222.67    4408
7068    world    -2548.79    221.02    3939.23
7068    world    -2508.45    233.02    3831.46
7068    world    -2427.05    220.66    3850.05
7069    world    -2079.53    218.19    4176.7
10337    world    -2297.9    221.78    3749.07
10337    world    -2285.56    222.72    3821.04
10337    world    -2286.46    216.42    3881.68
10337    world    -2176.23    232.3    3825.05
10337    world    -2205.01    219.71    3887.08
7069    world    -2110.89    218.12    3942.39
7069    world    -2139.36    216.88    3989.88
10337    world    -2262.11    216.03    3942.39
7069    world    -2084.33    218.19    4043.85
7069    world    -2206.09    213.12    3999.63
10337    world    -2239.58    211.05    4050.63
10337    world    -2326.67    223.84    4047.1
7069    world    -2486.03    233.06    4282.32
10337    world    -2399.16    234.96    4330.89
7070    world    -2108.87    217.88    4312.26
7070    world    -2175.96    227.76    4394.6
7070    world    -2279.14    220.93    4571.68
7070    world    -2087.65    218.92    4401.32
10337    world    -2423.64    223.37    4556.18
12276    world    -2655.5    222.25    4300.17
12276    world    -2709.11    222.47    4361.14
7068    world    -2758.91    222.47    4429.64
7068    world    -2783.63    235.57    4478.47
7069    world    -2700.5    228.01    4567.37
7069    world    -2798.77    232.2    4525
7068    world    -2994.24    218.98    4431.53
7068    world    -3030.11    218.59    4385.59
7068    world    -2852.35    219.11    4579.03
7068    world    -2971.76    222.03    4560.25
7068    world    -3035.72    227.28    4496.95
7068    world    -2894.96    218.85    4442.84
12276    world    -2792.23    216.9    4048.69
7068    world    -2867.59    236.44    3972.84
7068    world    -2950.82    224.41    4098.86
7068    world    -2949.7    224.66    3956.45
7070    world    -2083.36    223.48    3822.69
7070    world    -2140.35    219.2    3889.75
7070    world    -2079.88    219.24    3886.34
7070    world    -2137.51    219.81    4580.44
7070    world    -2192.51    221.16    4572.47
7070    world    -2081.6    218.91    4581.31
7070    world    -2068.72    219.29    4528.42
7070    world    -2115.82    224.24    4524.62
7070    world    -2084.51    221.05    4469.01
7070    world    -2173.1    244.43    4505.7
7070    world    -2153.94    238.45    4449
7069    world    -2597.17    226.54    4276.64
7069    world    -2435.98    222.21    4279.22
7069    world    -2367.86    220.38    4282.89
10337    world    -2308.7    212.81    4238.68
7069    world    -2197.19    217.6    3946.99
7069    world    -2372.81    223.46    3993.49
10337    world    -2276.69    219.18    3997.21
7069    world    -2085.78    218.17    3994.53
7069    world    -2084.05    218.19    4100.6
7069    world    -2177.42    214.9    4055.32
10337    world    -2578.9    221.27    4556.2
7069    world    -2737.59    239.65    4498.74
7069    world    -3047.9    218.41    4437.13
7069    world    -3047.43    220.26    4560.16
7069    world    -3012.74    221.17    4309.19
7069    world    -2917.36    225.68    4570.62
7069    world    -2784.6    219.3    4578.8
7069    world    -2834.17    229.84    4478.1
7069    world    -2959.06    218.62    4479.95
7068    world    -3044.63    223.23    3717
7068    world    -3016.91    219.15    3802.28
7068    world    -2947.58    232.4    3738.62
7068    world    -2978.87    217.63    4026.04
7068    world    -2989.59    218.03    3973.25
7068    world    -2941.89    217.14    4022.5
7068    world    -3025.62    218.12    4033.6
7068    world    -2756.05    234.03    3956.27
7068    world    -2655.86    227.88    3988.38
